GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-mexico-blog,mx.javamexico.post,BlogRoutes,83,0,0,0,20,0,12,0,12,0
java-mexico-blog,mx.javamexico.post,BlogController,5,0,0,0,2,0,2,0,2,0
java-mexico-blog,mx.javamexico.post,Blog,24,0,0,0,10,0,7,0,7,0
java-mexico-blog,mx.javamexico.post,BlogDao,82,0,2,0,25,0,5,0,4,0
java-mexico-blog,mx.javamexico.usuario,UsuarioController,10,0,0,0,3,0,2,0,2,0
java-mexico-blog,mx.javamexico.categoria,CategoriaController,5,0,0,0,2,0,2,0,2,0
java-mexico-blog,mx.javamexico.categoria,Categoria,17,0,0,0,7,0,5,0,5,0
java-mexico-blog,mx.javamexico.categoria,CategoriaDao,78,0,4,0,24,0,6,0,4,0
java-mexico-blog,mx.javamexico.middlewares,Headers,12,0,0,0,4,0,3,0,3,0
java-mexico-blog,mx.javamexico,Main,73,0,0,0,18,0,4,0,4,0
java-mexico-blog,mx.javamexico.utils,DataSource,82,0,2,0,24,0,5,0,4,0
java-mexico-blog,mx.javamexico.utils,GsonParser,11,0,0,0,2,0,2,0,2,0
